Image,Offer,Unnamed: 2,Link,Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Sep/ad7fe541b1ef3cf5966299bc714f8c04.jpg,"Up to 50% OFF (max. discount Rs.5,000)",,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Small Finance Bank ixigo Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Sep/ad7fe541b1ef3cf5966299bc714f8c04.jpg,"Up to 50% OFF (max. discount Rs.5,000)",,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Small Finance Bank Zenith Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Sep/ad7fe541b1ef3cf5966299bc714f8c04.jpg,"Up to 50% OFF (max. discount Rs.5,000)",,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Small Finance Bank Altura Plus Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Sep/ad7fe541b1ef3cf5966299bc714f8c04.jpg,"Up to 50% OFF (max. discount Rs.5,000)",,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Small Finance Bank Altura Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Sep/ad7fe541b1ef3cf5966299bc714f8c04.jpg,"Up to 50% OFF (max. discount Rs.5,000)",,https://www.yatra.com/offer/details/au-bank-EMI-offers,AU Small Finance Bank LIT Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Sep/ad7fe541b1ef3cf5966299bc714f8c04.jpg,"Up to 50% OFF (max. discount Rs.5,000)",,https://www.yatra.com/offer/details/au-bank-EMI-offers,Au Small Finance Bank Vetta Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Sep/ad7fe541b1ef3cf5966299bc714f8c04.jpg,"Up to 50% OFF (max. discount Rs.5,000)",,https://www.yatra.com/offer/details/au-bank-EMI-offers,
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/d0abb7631304e2c9bb3b1bd4bac5af84.jpg,"Up to 45% OFF (max. Rs.6,000)",,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC Cashback Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/d0abb7631304e2c9bb3b1bd4bac5af84.jpg,"Up to 45% OFF (max. Rs.6,000)",,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC Visa Platinum Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/d0abb7631304e2c9bb3b1bd4bac5af84.jpg,"Up to 45% OFF (max. Rs.6,000)",,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC Smart Value Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/d0abb7631304e2c9bb3b1bd4bac5af84.jpg,"Up to 45% OFF (max. Rs.6,000)",,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC Premier Mastercard© Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/d0abb7631304e2c9bb3b1bd4bac5af84.jpg,"Up to 45% OFF (max. Rs.6,000)",,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,
