Offer Title,Coupon Code,Expiry Date,Offer Image,Offer Link,Credit Card
"Up to 35% OFF (Up to Rs.5,000)",YRSBICEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/ae53b23ad5abc9591cb1dceefe534559.jpg,https://www.yatra.com/offer/details/sbi-credit-card-emi-offers,Aditya Birla SBI Card Select
"Up to 35% OFF (Up to Rs.5,000)",YRSBICEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/ae53b23ad5abc9591cb1dceefe534559.jpg,https://www.yatra.com/offer/details/sbi-credit-card-emi-offers,SBI Card Unnati
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Fed StarBiz RuPay
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Mastercard Signet
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank MagniFi
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank AmpliFi
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Wave
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Rupay Signet
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Scapia
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Visa Celesta
"Up to 35% OFF (max. Rs.5,000)",FEDEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/48636922fdaedbc7d56085c031075e6d.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Visa Imperio
"Up to 35% OFF (max. Rs.6,000)",YTICICIEMI,30-Jun-25,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Apr/17c85727796b6e526edb3a07f8874ebb.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI Bank Rubyx RuPay
